"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Feb 22 06:50:46 IST 2024","Thu Feb 22 06:50:49 IST 2024","3430","testCases","test_UserProfile_Params1","Test_User_Profile_Params","","","test_UserLogin_Params_005[getDataForLogin1]",""
"passed","Thu Feb 22 06:50:41 IST 2024","Thu Feb 22 06:51:01 IST 2024","20263","testCases","test_UserLogin1","Test_User_Profile","","","test_UserRegistration_001",""
"passed","Thu Feb 22 06:50:54 IST 2024","Thu Feb 22 06:51:16 IST 2024","22848","testCases","test_VerifyOrderAmount1","Test_VerifyAmount","","","test_VerifyAmount",""
"passed","Thu Feb 22 06:50:46 IST 2024","Thu Feb 22 06:50:51 IST 2024","4146","testCases","test_UserProfile_Params1","Test_User_Profile_Params","","","test_UserLogin_Params_005[getDataForLogin3]",""
"passed","Thu Feb 22 06:50:59 IST 2024","Thu Feb 22 06:51:12 IST 2024","13900","testCases","test_UserProfile1","Test_User_Profile","","","test_UserLogin_002",""
"passed","Thu Feb 22 06:51:17 IST 2024","Thu Feb 22 06:51:20 IST 2024","2824","testCases","test_UserProfile_Params1","Test_User_Profile_Params","","","test_UserLogin_Params_005[getDataForLogin0]",""
"passed","Thu Feb 22 06:50:54 IST 2024","Thu Feb 22 06:50:56 IST 2024","2132","testCases","test_UserProfile_Params1","Test_User_Profile_Params","","","test_UserLogin_Params_005[getDataForLogin2]",""
"passed","Thu Feb 22 06:51:01 IST 2024","Thu Feb 22 06:51:25 IST 2024","23297","testCases","test_UserLogin1_RandomEmail","Test_User_Profile","","","test_UserRegistration_001",""
"passed","Thu Feb 22 06:50:46 IST 2024","Thu Feb 22 06:50:56 IST 2024","9519","testCases","test_UserProfile1","Test_User_Profile","","","test_UserRegistration_001",""
"passed","Thu Feb 22 06:50:41 IST 2024","Thu Feb 22 06:51:15 IST 2024","34366","testCases","test_UserProfile_DDT","Test_User_Profile_DDT","","","test_UserLogin_ddt_006",""
